Name/_Alias,UUID/Ticket,Timestamp,Code_Word,Language,County,Location,Household_size,Children,Pets,Housing,Place to Stay,Transport,Benefits,Food/_Water,Healthcare,Support_Groups,Needs_to_talk,Needs_Phone,Has_Q&A,Individual_Notes,Phone,Email,SMS_Consent ,Preferred_Contact,Safe_Times,Voicemail_ok?,Provider_Assigned_,Notes,CurrentUserOrg,Status,Last Update,Updated By,Claimed_At
Barbara Wyatt,T-11/9/2025 17:23:53-2,2025-11-09 17:23:53,,English,San Diego,,,1,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,123-456-7891,123@yahoo.com,TRUE,"Phone (SMS/Call), Email","Morning, Afternoon, Evening",TRUE,SD County,,SD County,Accepted,11/12/2025 14:15:39,roxanne.romero222@gmail.com,
Ted,T-11/9/2025 17:34:40-3,2025-11-09 17:34:40,,English,San Diego,,1,,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,i have a dog,012-345-6789,,TRUE,Phone (SMS/Call),"Morning, Afternoon, Evening",FALSE,,,SD County,,11/12/2025 0:41:12,cmolina9576@sdsu.edu,
Ms Cat,T-11/9/2025 17:34:51-4,2025-11-09 17:34:51,,English,San Diego,,2,,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,234-567-8910,123@yahoo.com,TRUE,"Phone (SMS/Call), Email","Morning, Afternoon, Evening, Night",TRUE,SD County,,,,11/12/2025 14:15:46,roxanne.romero222@gmail.com,
Harrison,T-11/9/2025 17:34:58-5,2025-11-09 17:34:58,,English,San Diego,,1,1,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,345-678-9101,234@yahoo.com,TRUE,"Phone (SMS/Call), Email","Morning, Afternoon, Evening",TRUE,,,,,,,
Roberta Wilson,T-11/9/2025 17:35:07-6,2025-11-09 17:35:07,,English,San Diego,,1,,,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,456-789-1011,456@yahoo.com,TRUE,"Phone (SMS/Call), Email","Morning, Afternoon, Evening",TRUE,,,,,,,
Brad Luvit,T-11/9/2025 19:32:27-7,2025-11-09 19:32:27,,English,San Diego,,1,,,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,567-891-0112,567@yahoo.com,TRUE,"Phone (SMS/Call), Email","Morning, Afternoon, Evening",TRUE,,,,,,,
Rick Ashley,T-11/9/2025 19:35:05-8,2025-11-09 19:35:05,3322,English,San Diego,,1,1,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,I like music,2222210002,rashely@gmail.com,TRUE,Phone (SMS/Call),Morning,TRUE,,,,,11/12/2025 0:41:08,cmolina9576@sdsu.edu,
Rowanda Hicks,T-11/10/2025 13:01:52-9,2025-11-10 13:01:52,,English,San Diego,,1,,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,678-910-1112,678@yahoo.com,TRUE,"Phone (SMS/Call), Email","Morning, Afternoon, Evening",TRUE,,,,,,,
Stevie Nicks,T-11/10/2025 17:22:37-10,2025-11-10 17:22:37,,English,San Diego,,1,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,789-101-1121,789@yahoo.com,TRUE,"Phone (SMS/Call), Email","Morning, Afternoon, Evening",TRUE,,,,,,,
Lady Gaga,T-11/11/2025 14:01:42-11,2025-11-11 14:01:42,,Spanish,San Diego,,1,1,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,891-011-1213,891@yhaoo.com,TRUE,"Phone (SMS/Call), Email","Morning, Afternoon, Evening",TRUE,,,,,,,
Shoe Glue,T-11/11/2025 14:32:54-12,2025-11-11 14:32:54,,Spanish,San Diego,,1,2,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"I live off of 10th & holt ave, I have 1 dog",910-111-2131,910@yahoo.com,TRUE,"Phone (SMS/Call), Email","Morning, Afternoon, Evening",TRUE,,,,,,,
Susie Q,T-11/12/2025 0:57:07-13,2025-11-12 00:57:07,,Spanish,San Diego,,0,,,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,,221-520-2311,susieQ@gmail.com,TRUE,"Phone (SMS/Call), Email","Morning, Afternoon, Evening",TRUE,,,,,11/12/2025 0:58:56,cmolina9576@sdsu.edu,
